Mult_acc_2,Mult_acc_3,Mult_acc_5,F1_score,MAE,Corr,Loss,seed,0,0.1,0.2,0.3,0.4,0.5,0.6,0
0.7724,0.628,0.3611,0.7632,0.4835,0.5391,0.5225,1990.0,,,,,,,,
,,,,,,,,Mult_acc_2,,,,,,,
,,,,,,,,Mult_acc_3,,,,,,,
,,,,,,,,Mult_acc_5,,,,,,,
,,,,,,,,F1_score,,,,,,,
,,,,,,,,MAE,,,,,,,
,,,,,,,,Corr,,,,,,,
,,,,,,,,Loss,,,,,,,
,,,,,,,,seed,,,,,,,
,,,,,,,,,Mult_acc_2,,,,,,
,,,,,,,,,Mult_acc_3,,,,,,
,,,,,,,,,Mult_acc_5,,,,,,
,,,,,,,,,F1_score,,,,,,
,,,,,,,,,MAE,,,,,,
,,,,,,,,,Corr,,,,,,
,,,,,,,,,Loss,,,,,,
,,,,,,,,,seed,,,,,,
,,,,,,,,,,Mult_acc_2,,,,,
,,,,,,,,,,Mult_acc_3,,,,,
,,,,,,,,,,Mult_acc_5,,,,,
,,,,,,,,,,F1_score,,,,,
,,,,,,,,,,MAE,,,,,
,,,,,,,,,,Corr,,,,,
,,,,,,,,,,Loss,,,,,
,,,,,,,,,,seed,,,,,
,,,,,,,,,,,Mult_acc_2,,,,
,,,,,,,,,,,Mult_acc_3,,,,
,,,,,,,,,,,Mult_acc_5,,,,
,,,,,,,,,,,F1_score,,,,
,,,,,,,,,,,MAE,,,,
,,,,,,,,,,,Corr,,,,
,,,,,,,,,,,Loss,,,,
,,,,,,,,,,,seed,,,,
,,,,,,,,,,,,Mult_acc_2,,,
,,,,,,,,,,,,Mult_acc_3,,,
,,,,,,,,,,,,Mult_acc_5,,,
,,,,,,,,,,,,F1_score,,,
,,,,,,,,,,,,MAE,,,
,,,,,,,,,,,,Corr,,,
,,,,,,,,,,,,Loss,,,
,,,,,,,,,,,,seed,,,
,,,,,,,,,,,,,Mult_acc_2,,
,,,,,,,,,,,,,Mult_acc_3,,
,,,,,,,,,,,,,Mult_acc_5,,
,,,,,,,,,,,,,F1_score,,
,,,,,,,,,,,,,MAE,,
,,,,,,,,,,,,,Corr,,
,,,,,,,,,,,,,Loss,,
,,,,,,,,,,,,,seed,,
,,,,,,,,,,,,,,Mult_acc_2,
,,,,,,,,,,,,,,Mult_acc_3,
,,,,,,,,,,,,,,Mult_acc_5,
,,,,,,,,,,,,,,F1_score,
,,,,,,,,,,,,,,MAE,
,,,,,,,,,,,,,,Corr,
,,,,,,,,,,,,,,Loss,
,,,,,,,,,,,,,,seed,
,,,,,,,,,,,,,,,Mult_acc_2
,,,,,,,,,,,,,,,Mult_acc_3
,,,,,,,,,,,,,,,Mult_acc_5
,,,,,,,,,,,,,,,F1_score
,,,,,,,,,,,,,,,MAE
,,,,,,,,,,,,,,,Corr
,,,,,,,,,,,,,,,Loss
,,,,,,,,,,,,,,,seed
